Map Name,Personal Best,Rank,Bonus,Date,Start Speed
surf_004_fix,00:04.7813,91,1,2018-09-30 21:21:50,489 u/s
surf_1day,00:05.5078,45,1,2019-08-12 18:47:39,500 u/s
surf_25_lighters,00:17.2852,13,1,2017-12-03 21:46:43,499 u/s
surf_25_lighters,00:11.0742,18,4,2019-06-08 12:53:43,-1 u/s
surf_25_lighters,00:07.9570,31,5,2019-06-08 12:57:23,-1 u/s
surf_29palms,00:03.8906,18,1,2021-04-02 10:39:10,384 u/s
surf_29palms,00:25.3594,2,2,2021-04-02 05:33:50,404 u/s
surf_2pacisalive,00:17.7422,42,1,2019-07-21 21:39:13,560 u/s
surf_4dimensional,01:02.5195,1,1,2018-02-05 15:41:57,489 u/s
surf_4head_csgo,00:15.1641,143,1,2017-11-06 20:32:56,397 u/s
surf_4head_csgo,00:25.2305,63,2,2018-03-25 22:57:48,-1 u/s
surf_4head_csgo,00:18.5391,10,3,2018-03-25 22:45:07,-1 u/s
surf_6,00:07.3008,74,1,2017-11-26 22:30:02,463 u/s
surf_666,00:13.9805,89,1,2018-01-29 15:48:13,483 u/s
surf_666,00:12.4570,25,2,2021-06-04 08:03:31,499 u/s
surf_666,00:06.8672,3,3,2019-04-08 14:03:48,467 u/s
surf_666,00:14.4961,13,4,2019-10-09 00:32:44,495 u/s
surf_666,00:22.1953,13,5,2018-07-06 22:00:58,444 u/s
surf_666,00:21.8203,117,6,2018-05-21 17:41:57,453 u/s
surf_abandoned,00:25.9453,17,1,2023-03-04 01:02:08,516 u/s
surf_abandoned,00:27.8789,9,4,2023-03-04 00:59:27,-1 u/s
surf_abstract_final,00:07.5352,24,1,2017-10-25 20:46:44,419 u/s
surf_abstract_final,00:09.1055,75,2,2017-10-25 20:53:42,395 u/s
surf_ace_fix,00:16.4648,28,1,2019-10-07 15:02:26,500 u/s
surf_activation,00:22.1367,8,1,2020-03-25 10:37:44,507 u/s
surf_activation,00:13.6055,47,2,2020-09-28 23:18:48,509 u/s
surf_adtr_njv,00:07.6172,29,1,2019-03-28 00:18:16,611 u/s
surf_advanced,00:09.8438,44,1,2019-07-27 01:11:24,507 u/s
surf_adventure_final,00:06.5859,34,1,2018-05-15 05:33:32,456 u/s
surf_adventure_final,00:06.7734,37,2,2018-05-15 05:33:47,456 u/s
surf_adventure_final,00:06.5391,34,3,2018-05-15 05:50:23,456 u/s
surf_adventure_final,00:09.1406,27,4,2018-05-15 05:37:07,456 u/s
surf_adventure_final,00:06.7031,53,5,2018-05-15 05:32:21,-1 u/s
surf_adventure_final,00:09.1758,68,6,2018-05-15 05:38:48,456 u/s
surf_adventure_final,00:08.0039,4,7,2020-07-22 08:57:59,-1 u/s
surf_agony_go,00:11.2617,33,1,2022-07-14 21:39:44,486 u/s
surf_aircontrol_ksf__,00:12.6445,111,1,2018-02-11 17:24:10,485 u/s
surf_ameliorate,00:14.0508,11,1,2020-09-15 02:44:01,499 u/s
surf_ameliorate,00:10.5234,28,2,2019-01-26 01:09:23,-1 u/s
surf_amir,00:13.0195,5,1,2021-01-09 02:06:00,491 u/s
surf_android_csgo,00:07.1250,10,1,2019-12-03 00:58:38,509 u/s
surf_android_csgo,00:04.3359,6,2,2019-12-03 01:05:01,508 u/s
surf_andromeda,00:13.0664,372,1,2018-08-30 18:57:03,500 u/s
surf_and_destroy,00:14.3203,11,1,2017-12-23 21:07:20,474 u/s
surf_anoobis,00:20.4844,6,4,2022-07-18 15:38:08,1718 u/s
surf_anoobis,00:09.6328,4,10,2022-07-16 17:26:09,486 u/s
surf_antimatter2,00:10.0664,8,3,2022-10-09 05:57:20,380 u/s
surf_anubis,00:15.0469,9,1,2021-12-14 08:57:36,505 u/s
surf_anubis,00:22.5820,6,2,2021-12-14 09:20:34,510 u/s
surf_anubis,00:16.3594,4,3,2021-10-23 15:35:55,0 u/s
surf_anubis,00:06.0352,9,4,2021-12-14 09:27:08,510 u/s
surf_anubis,00:11.8359,6,5,2021-10-23 15:55:24,0 u/s
surf_anubis,00:16.3945,3,8,2021-12-14 10:23:41,208 u/s
surf_anubis,00:07.0781,34,9,2021-12-14 10:25:16,208 u/s
surf_anything,00:10.4414,67,1,2020-02-06 19:18:38,487 u/s
surf_aphelion,00:33.4688,1,6,2022-03-24 20:12:59,-1 u/s
surf_apollo,00:29.4258,2,3,2022-04-06 22:38:26,-1 u/s
surf_aquaflow,00:09.6445,24,1,2021-10-09 02:21:17,501 u/s
surf_aquaflow,00:20.0508,13,2,2022-11-26 21:50:28,461 u/s
surf_aqua_fix,00:12.9258,8,1,2021-06-25 11:56:36,509 u/s
surf_arcade,00:14.8945,9,1,2021-03-01 08:18:36,518 u/s
surf_ardon_refix,00:13.1836,5,1,2022-10-09 23:33:05,508 u/s
surf_ardon_refix,00:19.4297,25,2,2019-05-26 00:55:21,495 u/s
surf_ardon_refix,00:13.2070,24,4,2019-05-26 01:07:48,495 u/s
surf_ardon_refix,00:11.1328,2,5,2020-10-17 11:12:46,-1 u/s
surf_artifex,00:17.1211,6,1,2017-11-22 05:17:53,472 u/s
surf_artois,00:10.3477,15,2,2022-05-12 17:17:55,509 u/s
surf_artois,00:18.1289,6,3,2022-05-12 17:11:55,509 u/s
surf_artois,00:11.8828,25,4,2022-05-12 17:25:29,509 u/s
surf_aser,00:05.8594,65,1,2022-12-28 21:11:15,495 u/s
surf_atrium,00:08.2148,416,1,2017-12-03 12:41:13,472 u/s
surf_aura,00:10.8164,72,1,2021-12-20 06:51:19,488 u/s
surf_aura,00:11.8359,42,2,2021-12-20 06:54:41,508 u/s
surf_aura,00:12.2227,81,3,2021-12-20 06:56:16,508 u/s
surf_aura,00:12.1758,27,4,2021-12-20 07:08:04,-1 u/s
