Map Name,Rank,Personal Best,Date,Start Speed
surf_004_fix,20,00:34.5352,2018-01-27 23:28:52,486 u/s
surf_25_lighters,2,01:13.1953,2020-11-30 05:58:14,491 u/s
surf_29palms,3,01:48.9258,2021-04-02 06:31:32,507 u/s
surf_2pacisalive,1,00:30.0000,2021-12-13 09:51:27,472 u/s
surf_3,10,00:27.5508,2021-12-07 08:19:41,600 u/s
surf_4head_csgo,29,00:56.0859,2018-02-12 18:08:35,448 u/s
surf_6,3,00:34.8633,2020-09-27 09:01:03,474 u/s
surf_666,47,03:01.5234,2019-07-22 03:26:29,501 u/s
surf_8bit,10,00:57.4805,2021-02-18 07:57:08,514 u/s
surf_abandoned,3,00:54.9141,2023-03-12 22:13:36,511 u/s
surf_abstinens,19,01:03.1172,2018-01-25 18:51:08,470 u/s
surf_abstract_final,117,00:22.1133,2018-01-25 00:53:46,481 u/s
surf_acerbus,14,02:17.0391,2017-12-26 23:52:40,269 u/s
surf_ace_fix,35,00:40.8047,2022-11-20 21:10:13,513 u/s
surf_activation,4,01:01.7109,2020-03-07 02:21:27,504 u/s
surf_adtr_njv,31,00:33.8438,2019-03-28 00:09:43,469 u/s
surf_advanced,16,00:45.9023,2018-12-29 07:40:25,496 u/s
surf_adventure_final,4,01:35.6719,2019-12-07 07:50:04,496 u/s
surf_aether,8,00:44.6836,2021-02-21 00:36:28,492 u/s
surf_again_njv,3,00:47.3320,2020-01-29 02:06:22,423 u/s
surf_agony_go,8,00:43.2891,2022-07-14 21:59:42,501 u/s
surf_aircontrol_ksf__,198,00:36.6797,2018-12-30 20:21:25,475 u/s
surf_akai_final_fix,6,00:33.6797,2020-10-30 15:37:28,477 u/s
surf_amaranthine,9,00:36.5859,2020-12-26 15:01:49,512 u/s
surf_ambient_njv,8,00:33.9141,2018-05-29 22:01:58,480 u/s
surf_ameliorate,57,00:46.7461,2019-01-25 20:32:40,504 u/s
surf_amplitude_apex_njv,1,01:20.0391,2021-06-05 03:03:12,482 u/s
surf_amplitude_encore_nsf_v4,5,00:57.0000,2020-10-27 08:01:07,481 u/s
surf_amplitude_light,2,00:45.2344,2022-12-25 19:25:35,330 u/s
surf_andromeda,67,00:32.1445,2021-01-17 04:13:26,502 u/s
surf_and_destroy,60,00:31.8867,2017-11-19 05:39:44,411 u/s
surf_animals,4,01:36.4102,2018-10-20 18:47:50,342 u/s
surf_annoyance_njv,54,02:32.1875,2018-01-26 18:06:31,478 u/s
surf_anoobis,10,00:40.9688,2022-07-16 17:09:23,486 u/s
surf_anything,4,00:52.4648,2020-02-06 19:09:38,609 u/s
surf_anzchamps,4,01:16.8281,2022-05-05 17:57:37,507 u/s
surf_aphelion,2,00:52.5234,2022-03-24 19:30:47,502 u/s
surf_apollo,11,00:41.7891,2022-04-06 21:49:07,510 u/s
surf_aquaflow,5,00:41.9414,2021-10-10 12:41:51,507 u/s
surf_aqua_fix,7,00:54.2227,2020-08-31 08:48:21,501 u/s
surf_ardon_refix,105,00:58.5352,2019-05-26 05:11:56,510 u/s
surf_artifex,37,03:49.6641,2017-11-22 04:27:21,479 u/s
surf_artois,29,00:49.2188,2022-05-12 16:45:19,515 u/s
surf_aser,63,00:43.2422,2018-12-29 22:15:23,607 u/s
surf_aspiration,5,00:56.1445,2018-09-26 22:50:37,494 u/s
surf_assail,4,00:41.1680,2022-10-22 12:21:37,617 u/s
surf_atlas_1,12,00:32.3203,2020-11-28 10:44:22,547 u/s
surf_atrium,4,00:29.9531,2019-10-21 05:36:53,474 u/s
surf_aura,17,01:14.5313,2021-12-21 06:48:51,491 u/s
surf_autism,54,00:37.8047,2019-08-11 23:37:58,499 u/s
surf_autism_2,5,00:31.4531,2022-12-29 18:55:48,505 u/s
